commit,date,module,kind,target_device,speed_grade,clock_target_mhz,fmax_mhz,worst_slack_ns,lut4,ff,ebr18,mult18x18d,pll,latency_cycles,throughput,config,critical_path_summary,seed,tool_versions,multiplications,additions,comparators,total_cells,wire_bits,timing_met
afa5b3c9b93d,2026-09-11T21:43:05Z,sample_scheduler,low-rate-control,LFE5U-45F-7BG256I,-7,125.0,141.323,0.924,161,138,0,0,0,"1 clk (phase accumulator, sample_ce generated continuously)",1 sample_ce per 134 clk (930 kSa/s at 125 MHz),production-defaults,"sig_trim_inc_TRELLIS_FF_Q_23 -> dut.sample_ce_TRELLIS_FF_Q [6.55 ns: logic 3.22 + route 3.33, 83 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",N/A,8,0,0,231,True
afa5b3c9b93d,2026-09-11T21:28:06Z,adc_if,io-interface,LFE5U-45F-7BG256I,-7,125.0,211.372,3.269,93,137,0,0,0,N/A (serial frame FSM),1 sample pair per frame (~32 clk),production-defaults,"dut.bit_count_TRELLIS_FF_Q_3 -> dut.ch0_sample_TRELLIS_FF_Q_3 [4.21 ns: logic 0.71 + route 3.50, 9 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",N/A,12,18,0,190,True
afa5b3c9b93d,2026-09-11T21:41:55Z,pga_spi_master,io-interface,LFE5U-45F-7BG256I,-7,125.0,214.5,3.338,117,75,0,0,0,N/A (bit-banged SPI FSM),1 gain word per SPI frame,production-defaults,"dut.bit_index_TRELLIS_FF_Q -> dut.shift_word_TRELLIS_FF_Q [3.71 ns: logic 1.12 + route 2.60, 13 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",N/A,10,22,0,160,True
afa5b3c9b93d,2026-09-11T21:40:09Z,goertzel_resonator,single-cycle,LFE5U-45F-7BG256I,-7,125.0,34.661,-20.851,544,183,0,6,0,1 clk per sample (II=1),1 sample per clk (gated by sample_ce),production-defaults,"dut.state_1_TRELLIS_FF_Q_6 -> dut.state_1_TRELLIS_FF_Q_14 [28.33 ns: logic 14.40 + route 13.93, 139 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",6,10,20,0,1197,False
afa5b3c9b93d,2026-09-11T21:40:01Z,goertzel_complex_12,single-cycle,LFE5U-45F-7BG256I,-7,125.0,90.769,-3.017,218,160,0,2,0,1 clk per sample (II=1),1 sample per clk (gated by sample_ce),production-defaults,"sig_state_2_TRELLIS_FF_Q_10 -> sig_bin_real_q_TRELLIS_FF_Q [10.49 ns: logic 6.59 + route 3.90, 65 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",2,6,0,0,283,False
afa5b3c9b93d,2026-09-11T21:39:01Z,engeler_goertzel_bank,single-cycle,LFE5U-45F-7BG256I,-7,125.0,27.29,-28.644,1595,451,0,18,0,1 clk per sample (II=1),1 sample per clk (gated by sample_ce),production-defaults,"dut.pm_i.state_1_TRELLIS_FF_Q_15 -> dut.pm_i.state_1_TRELLIS_FF_Q_5 [36.12 ns: logic 15.67 + route 20.45, 153 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",18,18,60,0,1197,False
afa5b3c9b93d,2026-09-11T21:39:31Z,engeler_observables,composition,LFE5U-45F-7BG256I,-7,125.0,28.062,-27.636,2163,1051,0,28,0,6 clk to observable_valid (pipeline),1 sample per clk (gated by sample_ce),production-defaults,"dut.detector_i.carrier_i.state_1_TRELLIS_FF_Q_19 -> dut.detector_i.carrier_i.overflow_TRELLIS_FF_Q [35.11 ns: logic 15.08 + route 20.04, 155 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",24,20,72,0,1197,False
afa5b3c9b93d,2026-09-11T21:28:10Z,am_bit_extractor,multicycle,LFE5U-45F-7BG256I,-7,125.0,70.338,-6.217,891,447,0,0,0,N/A (per-second decision),1 AM bit per second,production-defaults,"sig_am_observable_TRELLIS_FF_Q_66 -> dut.am_soft_bit_TRELLIS_FF_Q_25 [13.69 ns: logic 6.69 + route 7.00, 177 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",N/A,18,20,0,1308,False
afa5b3c9b93d,2026-09-11T21:32:56Z,dcf77_prn_generator,low-rate-control,LFE5U-45F-7BG256I,-7,125.0,346.26,5.112,70,65,0,0,0,N/A (chip sequence generator),1 chip per CYCLES_PER_CHIP,production-defaults,"sig_chip_index_q_TRELLIS_FF_Q -> sig_q_TRELLIS_FF_Q_15 [2.36 ns: logic 0.64 + route 1.73, 7 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",N/A,8,2,0,61,True
afa5b3c9b93d,2026-09-11T21:42:56Z,pm_prn_correlator,single-cycle,LFE5U-45F-7BG256I,-7,125.0,112.385,-0.898,248,172,0,0,0,1 clk per chip (II=1),1 chip per clk (gated by chip_ce),production-defaults,"sig_pm_soft_TRELLIS_FF_Q_14 -> dut.accumulator_TRELLIS_FF_Q [8.37 ns: logic 3.19 + route 5.18, 59 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",N/A,14,2,0,283,False
afa5b3c9b93d,2026-09-11T21:39:33Z,engeler_pm_correlator,single-cycle,LFE5U-45F-7BG256I,-7,125.0,119.904,-0.34,256,189,0,0,0,1 clk per chip (II=1),1 chip per clk (gated by chip_ce),production-defaults,"sig_pm_soft_TRELLIS_FF_Q_12 -> dut.correlator_i.accumulator_TRELLIS_FF_Q_3 [7.82 ns: logic 3.09 + route 4.73, 51 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",N/A,12,4,0,283,False
afa5b3c9b93d,2026-09-11T21:41:59Z,pm_chip_integrator,multicycle,LFE5U-45F-7BG256I,-7,125.0,96.909,-2.319,444,297,0,0,0,N/A (integration window),1 correlation per chip window,production-defaults,"sig_pm_observable_TRELLIS_FF_Q_66 -> dut.chip_soft_TRELLIS_FF_Q_20 [9.79 ns: logic 5.39 + route 4.40, 159 segs]",1,"yosys=Yosys 0.52 (git sha1 fee39a3284c90249e1d9684cf6944ffbbcbb8f90); nextpnr=""nextpnr-ecp5"" -- Next Generation Place and Route (Version 0.9-3); iverilog=Icarus Verilog version 12.0 (stable) (); python=Python 3.14.4; host=Linux-7.0.0-28-generic-x86_64-with-glibc2.43",N/A,16,14,0,1076,False
